Date,Open,High,Low,Close,Volume
8/15/2023,131.59,131.99,129.82,130.27,"14,769,170"
8/14/2023,129.85,131.91,129.59,131.83,"17,526,199"
8/11/2023,129.2,130.44,128.75,130.17,"15,205,470"
8/10/2023,131.97,132.65,130.04,130.21,"17,855,680"
8/9/2023,132.19,132.47,129.51,130.15,"17,745,221"
8/8/2023,130.98,131.94,130.13,131.84,"16,835,949"
8/7/2023,129.51,132.06,129.43,131.94,"17,621,039"
8/4/2023,129.6,131.93,128.32,128.54,"20,521,850"
8/3/2023,128.37,129.77,127.78,128.77,"15,086,130"
8/2/2023,129.84,130.42,127.85,128.64,"22,705,779"
8/1/2023,130.86,132.92,130.75,131.89,"22,219,010"
7/31/2023,133.01,133.83,132.13,133.11,"18,381,891"
7/28/2023,130.97,134.07,130.92,133.01,"26,971,010"
7/27/2023,131.8,133.6,129.18,129.87,"35,931,609"
7/26/2023,130.36,131.37,128.71,129.66,"46,216,898"
7/25/2023,121.88,123.69,121.53,122.79,"31,820,850"
7/24/2023,121.93,123.35,121.38,121.88,"22,312,221"
7/21/2023,120.87,121.3,119.07,120.31,"56,514,648"
7/20/2023,122.12,124.7,118.69,119.53,"27,541,711"
7/19/2023,124.79,125.47,122.47,122.78,"22,313,801"
7/18/2023,124.91,124.99,123.3,124.08,"21,071,250"
7/17/2023,126.06,127.28,124.5,125.06,"20,675,301"
7/14/2023,125.13,127.09,124.9,125.7,"20,499,779"
7/13/2023,121.54,125.34,121.06,124.83,"31,535,850"
7/12/2023,119.3,120.96,119,119.62,"22,059,609"
7/11/2023,116.76,118.23,115.83,117.71,"18,286,570"
7/10/2023,119.07,119.07,116.64,116.87,"32,960,078"
7/7/2023,120.89,121.75,120.09,120.14,"20,997,670"
7/6/2023,120.64,121.15,119.25,120.93,"17,750,180"
7/5/2023,120.06,123.37,120.06,122.63,"17,830,350"
7/3/2023,120.32,121.02,119.71,120.56,"13,871,720"
6/30/2023,121.1,122.03,120.88,120.97,"23,871,760"
6/29/2023,120.09,120.91,119.21,120.01,"18,517,461"
6/28/2023,117.96,121.27,117.6,121.08,"19,753,150"
6/27/2023,117.84,119.9,116.91,119.01,"27,221,711"
6/26/2023,121.47,122.72,118.99,119.09,"23,184,961"
6/23/2023,122.04,123.44,121.86,123.02,"29,573,119"
6/22/2023,120.66,123.94,119.6,123.87,"20,781,891"
6/21/2023,123.24,123.41,120.86,121.26,"22,612,000"
6/20/2023,123.54,125.18,122.83,123.85,"22,698,029"
6/16/2023,126.7,126.7,123.79,124.06,"56,699,199"
6/15/2023,123.88,126.16,123.14,125.79,"24,517,070"
6/14/2023,123.8,124.79,122.16,124.38,"24,659,619"
6/13/2023,125.65,125.86,123.85,124.43,"19,287,650"
6/12/2023,123.4,124.75,122.35,124.35,"22,289,631"
6/9/2023,122.56,124.29,122.42,122.87,"20,313,680"
6/8/2023,122.59,123.73,122.01,122.67,"24,815,000"
6/7/2023,127.58,129.55,122.63,122.94,"34,179,352"
6/6/2023,126.6,128.88,125.97,127.91,"19,450,131"
6/5/2023,124.61,127.99,124.38,126.63,"22,672,520"
6/2/2023,124.49,126.75,124.35,125.23,"19,367,449"
6/1/2023,123.5,125.04,123.3,124.37,"25,017,670"
5/31/2023,123.7,124.9,123.1,123.37,"41,548,762"
5/30/2023,126.29,126.38,122.89,124.64,"27,230,730"
5/26/2023,124.07,126,123.29,125.43,"25,169,039"
5/25/2023,125.21,125.98,122.9,124.35,"33,812,727"
5/24/2023,121.88,122.75,120.75,121.64,"23,087,930"
5/23/2023,124.93,125.42,123.05,123.29,"24,477,949"
5/22/2023,123.51,127.05,123.45,125.87,"29,760,240"
5/19/2023,124.2,126.48,122.72,123.25,"30,268,859"
5/18/2023,121.56,123.9,121.49,123.52,"27,014,471"
5/17/2023,120.18,122.28,119.46,121.48,"26,659,561"
5/16/2023,116.83,121.2,116.83,120.09,"32,370,109"
5/15/2023,116.49,118.8,116.48,116.96,"22,107,869"
5/12/2023,117,118.26,116.55,117.92,"31,293,779"
5/11/2023,115.86,118.44,114.93,116.9,"57,115,078"
5/10/2023,108.55,113.51,108.48,112.28,"47,533,461"
5/9/2023,108.78,110.6,107.73,107.94,"24,782,439"
5/8/2023,105.8,108.42,105.79,108.24,"17,266,020"
5/5/2023,105.32,106.44,104.74,106.22,"20,710,631"
5/4/2023,106.16,106.3,104.7,105.21,"19,780,641"
5/3/2023,106.22,108.13,105.62,106.12,"17,116,330"
5/2/2023,107.66,107.73,104.5,105.98,"20,343,119"
5/1/2023,107.72,108.68,107.5,107.71,"20,926,260"
4/28/2023,107.8,108.29,106.04,108.22,"23,957,869"
4/27/2023,105.23,109.15,104.42,108.37,"38,235,219"
4/26/2023,105.56,107.02,103.27,104.45,"37,068,168"
4/25/2023,106.61,107.44,104.56,104.61,"31,408,119"
4/24/2023,106.05,107.32,105.36,106.78,"21,410,910"
4/21/2023,106.09,106.64,105.49,105.91,"22,379,020"
4/20/2023,104.65,106.89,104.64,105.9,"22,515,330"
4/19/2023,104.22,105.73,103.8,105.02,"16,732,020"
4/18/2023,107,107.05,104.78,105.12,"17,641,369"
4/17/2023,105.43,106.71,105.32,106.42,"29,043,439"
4/14/2023,107.69,109.58,107.59,109.46,"20,758,689"
4/13/2023,106.47,108.27,106.44,108.19,"21,650,750"
4/12/2023,107.39,107.59,104.97,105.22,"22,761,570"
4/11/2023,106.92,107.22,105.28,106.12,"18,721,279"
4/10/2023,107.39,107.97,105.6,106.95,"19,741,520"
4/6/2023,105.77,109.63,104.82,108.9,"34,684,152"
4/5/2023,106.12,106.54,104.1,104.95,"21,864,199"
4/4/2023,104.84,106.1,104.6,105.12,"20,377,230"
4/3/2023,102.67,104.95,102.38,104.91,"20,719,859"
3/31/2023,101.71,104.19,101.44,104,"28,107,949"
3/30/2023,101.44,101.61,100.29,101.32,"25,009,830"
3/29/2023,102.72,102.82,101.03,101.9,"26,148,301"
3/28/2023,103,103,100.28,101.36,"24,913,480"
3/27/2023,105.32,105.4,102.63,103.06,"25,393,420"
3/24/2023,105.74,106.16,104.74,106.06,"25,245,010"
3/23/2023,105.89,107.1,105.41,106.26,"31,385,820"
3/22/2023,105.14,107.51,104.21,104.22,"32,336,881"
3/21/2023,101.98,105.96,101.86,105.84,"33,122,801"
3/20/2023,101.06,102.58,100.79,101.93,"26,033,920"
3/17/2023,100.84,103.49,100.75,102.46,"76,140,312"
3/16/2023,96.57,101.97,95.87,101.07,"54,588,199"
3/15/2023,93.54,97.25,93.04,96.55,"38,367,328"
3/14/2023,93.07,94.83,92.78,94.25,"32,303,881"
3/13/2023,90.57,93.08,89.94,91.66,"31,508,570"
3/10/2023,92.5,93.18,90.8,91.01,"32,850,090"
3/9/2023,94.49,95.92,92.36,92.66,"24,438,891"
3/8/2023,94.41,96.24,94.41,94.65,"25,395,199"
3/7/2023,95.42,96.09,93.84,94.17,"24,101,539"
3/6/2023,94.36,96.3,94.3,95.58,"28,288,211"
3/3/2023,92.74,94.11,92.66,94.02,"30,242,539"
3/2/2023,89.86,92.48,89.77,92.31,"23,344,561"
3/1/2023,90.16,91.2,89.85,90.51,"26,323,881"
2/28/2023,89.54,91.45,89.52,90.3,"30,546,910"
2/27/2023,90.09,90.45,89.61,90.1,"22,724,260"
2/24/2023,89.63,90.13,88.86,89.35,"31,295,619"
2/23/2023,92.13,92.13,90.01,91.07,"32,423,721"
2/22/2023,91.93,92.36,90.87,91.8,"29,891,141"
2/21/2023,93.24,93.41,92,92.05,"28,367,199"
2/17/2023,95.07,95.75,93.45,94.59,"31,095,070"
2/16/2023,95.54,97.88,94.97,95.78,"35,642,113"
2/15/2023,94.74,97.34,94.36,97.1,"37,029,887"
2/14/2023,94.66,95.18,92.65,94.95,"42,513,078"
2/13/2023,95.01,95.35,94.05,95,"43,116,559"
2/10/2023,95.74,97.02,94.53,94.86,"49,325,281"
2/9/2023,100.54,100.61,93.86,95.46,"97,798,570"
2/8/2023,102.69,103.58,98.46,100,"73,546,031"
2/7/2023,103.63,108.67,103.55,108.04,"33,738,832"
